     Temperature<1>          Density<2>        Viscosity<3>        ThermCond<4>   SurfaceTension<5>               Cp<6>        HeatOfVap<7>             Pvap<8>             Tsat<9>          Pvap_cc<10>
   9.20000E+002   2.61945E+002   4.16650E-004   9.43650E-002   0.00000E+000   3.18667E+003   0.00000E+000   2.76250E+006   6.52500E+002   8.60137E+005
   9.30000E+002   2.61945E+002   4.16650E-004   9.43650E-002   0.00000E+000   3.18667E+003   0.00000E+000   2.76250E+006   6.52500E+002   8.80896E+005
   9.40000E+002   2.61945E+002   4.16650E-004   9.43650E-002   0.00000E+000   3.18667E+003   0.00000E+000   2.76250E+006   6.52500E+002   9.01698E+005
   9.50000E+002   2.61945E+002   4.16650E-004   9.43650E-002   0.00000E+000   3.18667E+003   0.00000E+000   2.76250E+006   6.52500E+002   9.22538E+005
   9.60000E+002   2.61945E+002   4.16650E-004   9.43650E-002   0.00000E+000   3.18667E+003   0.00000E+000   2.76250E+006   6.52500E+002   9.43411E+005
   9.70000E+002   2.61945E+002   4.16650E-004   9.43650E-002   0.00000E+000   3.18667E+003   0.00000E+000   2.76250E+006   6.52500E+002   9.64310E+005
   9.80000E+002   2.61945E+002   4.16650E-004   9.43650E-002   0.00000E+000   3.18667E+003   0.00000E+000   2.76250E+006   6.52500E+002   9.85233E+005
   9.90000E+002   2.61945E+002   4.16650E-004   9.43650E-002   0.00000E+000   3.18667E+003   0.00000E+000   2.76250E+006   6.52500E+002   1.00617E+006
   1.00000E+003   2.61945E+002   4.16650E-004   9.43650E-002   0.00000E+000   3.18667E+003   0.00000E+000   2.76250E+006   6.52500E+002   1.02712E+006
   1.01000E+003   2.61945E+002   4.16650E-004   9.43650E-002   0.00000E+000   3.18667E+003   0.00000E+000   2.76250E+006   6.52500E+002   1.04809E+006
