Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
320.40	0.016844	660.47	0.0015141	-12.514	-12.511	-36.149	185.93	233.35	1036.6	-0.37654	306.71	0.12555	0.017716	0.64317	1.5548	20.055	22.680	73.685	167.42	176.47	164.89	52.527	6.4436	0.013371
321.60	0.017709	659.43	0.0015165	-12.234	-12.231	-35.276	186.37	233.84	1031.7	-0.37443	303.08	0.12524	0.017594	0.67403	1.4836	20.251	22.884	73.912	167.98	177.06	165.10	51.807	6.4695	0.013471
322.80	0.018609	658.39	0.0015189	-11.953	-11.950	-34.404	186.82	234.35	1026.9	-0.37229	299.52	0.12494	0.017471	0.70607	1.4163	20.448	23.088	74.141	168.54	177.65	165.31	51.102	6.4956	0.013571
324.00	0.019547	657.34	0.0015213	-11.671	-11.668	-33.534	187.28	234.85	1022.0	-0.37014	296.03	0.12464	0.017349	0.73933	1.3526	20.644	23.293	74.373	169.10	178.24	165.52	50.411	6.5216	0.013672
325.20	0.020523	656.30	0.0015237	-11.389	-11.386	-32.665	187.73	235.35	1017.2	-0.36797	292.59	0.12434	0.017227	0.77384	1.2923	20.842	23.499	74.608	169.67	178.84	165.72	49.734	6.5477	0.013774
326.40	0.021538	655.25	0.0015261	-11.107	-11.103	-31.797	188.18	235.86	1012.4	-0.36579	289.22	0.12403	0.017105	0.80964	1.2351	21.039	23.705	74.846	170.23	179.43	165.92	49.070	6.5739	0.013876
327.60	0.022594	654.20	0.0015286	-10.823	-10.820	-30.931	188.64	236.37	1007.5	-0.36359	285.90	0.12373	0.016983	0.84675	1.1810	21.238	23.911	75.086	170.80	180.03	166.12	48.419	6.6000	0.013979
328.80	0.023691	653.15	0.0015310	-10.539	-10.536	-30.066	189.09	236.88	1002.7	-0.36137	282.64	0.12343	0.016862	0.88522	1.1297	21.437	24.118	75.330	171.37	180.63	166.32	47.781	6.6263	0.014082
330.00	0.024832	652.09	0.0015335	-10.255	-10.251	-29.202	189.55	237.39	997.89	-0.35913	279.43	0.12313	0.016741	0.92508	1.0810	21.636	24.326	75.576	171.94	181.23	166.51	47.155	6.6526	0.014185
331.20	0.026016	651.04	0.0015360	-9.9698	-9.9658	-28.340	190.01	237.91	993.08	-0.35687	276.28	0.12283	0.016620	0.96636	1.0348	21.836	24.533	75.824	172.51	181.84	166.70	46.542	6.6789	0.014289
332.40	0.027247	649.98	0.0015385	-9.6841	-9.6799	-27.479	190.46	238.43	988.27	-0.35460	273.18	0.12253	0.016499	1.0091	0.99097	22.036	24.742	76.076	173.08	182.44	166.88	45.942	6.7052	0.014394
333.60	0.028524	648.92	0.0015410	-9.3978	-9.3934	-26.619	190.92	238.95	983.47	-0.35230	270.14	0.12223	0.016378	1.0534	0.94934	22.237	24.950	76.329	173.65	183.05	167.06	45.352	6.7316	0.014499
334.80	0.029849	647.86	0.0015435	-9.1108	-9.1062	-25.760	191.39	239.47	978.67	-0.34999	267.14	0.12194	0.016258	1.0991	0.90980	22.438	25.159	76.586	174.22	183.66	167.24	44.775	6.7581	0.014604
336.00	0.031223	646.80	0.0015461	-8.8233	-8.8184	-24.903	191.85	239.99	973.88	-0.34766	264.19	0.12164	0.016138	1.1465	0.87221	22.640	25.369	76.845	174.79	184.27	167.41	44.209	6.7846	0.014710
