Krok,Czas_[ms],Pozycja_Z_[mm],Gestosc_wzgledna_[-],Ulamek_cieczy_Yl_[-],Ulamek_pary_Yv_[-],Predkosc_cieczy_[m/s],Predkosc_gazu_[m/s],Srednica_kropel_SMD_[um],Temp_kropel_[K],Temp_gazu_[K],Promien_strugi_b_[mm]
000000,0.00000,17.6681,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,17.8045,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,17.9409,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,18.0774,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,18.2138,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,18.3502,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,18.4867,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,18.6231,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,18.7595,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,18.8960,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,19.0324,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,19.1688,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,19.3053,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,19.4417,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,19.5781,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
